user,stars,comment,info
8*****o,2,"Lần đầu tiên phải rate sao thấp cho 1 sản phẩm. Chất lượng âm thanh siêu tệ, khá rè, đầu tai nghe quá to không thể nhét vừa tai. Được cái giá thành rẻ và giao hàng nhanh, mọi người nên cân nhắc khi mua hàng nhé.",2024-01-11 20:00 | Phân loại hàng: MẦU TRẮNG
2a26pqy4b6,2,,2025-12-21 16:53 | Phân loại hàng: MẦU ĐEN
i86q_dgo70,2,"Đóng gói sơ sài , bao bìa đẹp , âm bass tạm được sau khi nghe trải nghiệm .",2025-12-04 11:01 | Phân loại hàng: MẦU TRẮNG
b*****r,2,"quá buồn, không hiểu sao cái dây này nhà sản xuất làm ăn quá cẩu thả, không thể nghĩ được, đóng gói dây mà để dây kẹp giữa rãnh hộp, mới khui hộp mà dây như sắp đứt, âm thanh bên dây sắp đứt bị chập chờn còn bên dây lành thì ổn, cái này  mình biết lỗi không phải do shop mà do nhà sản xuất nhưng như thế này thì không thể chấp nhận được, nếu mà đánh giá được cho nhà sản xuất chắc mình cho 0 chấm 1 sao",2023-12-17 12:00 | Phân loại hàng: MẦU TRẮNG
phonggayeuly,2,Tai nghe bên này là cái màu đen. Cái trắng là bên khác Thề cái thiết kế tai nghe nó siêu đần. Đeo vào 1 là cảm thấy không khít tai 2 là khít thì sẽ rất đau. Mà lại lỡ đặt luôn 2 cái chứ. Rất khó chịu,2025-08-06 15:22 | Phân loại hàng: MẦU ĐEN
thaibk1993,2,Hàng thì chất lượng mua nhiều oy nhưng đóng gói xuất hóa đơn siêu chậm cho 2 sao để lần sau cố gắng,2023-03-16 22:01 | Phân loại hàng: MẦU TRẮNG
t*****i,2,"Mở ra thì thấy hộp đựng bị vỡ hai vết liền, thực sự là mình không hài lòng với cách đóng gói của shop, sơ sài quá 🤧 Chất lượng thì mình chưa đánh giá được nhiều Trước tiên mới nghe thì âm khá êm, to rõ, mic tích hợp okeeee luôn Với giá này thì mình thấy khá ổn đó, tiếc là hộp vỡ rồi :""( Thêm một cái buồn nx là mình màu đen thì giao màu trắng",2023-06-13 09:03 | Phân loại hàng: MẦU ĐEN
phamhuong164,2,"Tạm ổn, nhưng nghe 1 lúc dễ đau tai nhé Ai muốn mua để hát thì cái mic tại nghe ko ổn, ko nói đc đâu, họăc rất bé nhé Shop nhắn tin cũng qua loa cho có, mình chụp hình và hỏi mic ở mặt trước hay đằng sau ạ thì rep đc chữ ""chào bạn"" xong cái mất hút đến giờ là tròn 2 tuần :)))",2023-08-07 20:11 | Phân loại hàng: MẦU TRẮNG
h*****t,2,,2023-03-30 10:50 | Phân loại hàng: MẦU TRẮNG
v*****4,2,Hơi chê nha. Hộp vỡ hết . Shop k trả lời khách hàng. Tai nghe chập chờn,2024-12-18 11:25 | Phân loại hàng: MẦU TRẮNG
b*****u,2,"Xem sp k kỹ phải chịu thôi, bên trái của shop n to mà vướng như nhét cục gì vào tai đeo rất to cả chiều rộng chiều dàu, đau ko vừa, tai nghe bthg n như bên phải  đeo khác hẳn",2024-03-20 14:43 | Phân loại hàng: MẦU TRẮNG
thuong_nguyen249,2,"Tai nghe lưc mở ra thì đã cấn gãy dây rồi, biết là sale nhưng bán hàng có tâm xíu được ko",2024-08-19 08:35 | Phân loại hàng: MẦU ĐEN
p*****.,2,"Mình mua hàng ở shop khá nhiều r, nhưng lần mua này khiến mk rất thất vọng, tai nghe không đảm bảo gì cả, mua về được ngày thứ 2 thì đã mất cái núm nghe trên tai nghe r, cách thiết kế tai nghe quá ẩu",2023-12-21 21:38 | Phân loại hàng: MẦU TRẮNG
s*****6,2,"Sản phẩm nghe được giao nhanh, nhưng không cắm vào được điện thoại, không hiểu",2025-02-16 18:52 | Phân loại hàng: MẦU ĐEN
n*****6,2,"dây k chắc chắn, cắm vào điện thoại âm thanh bị dè nghe k rõ",2024-06-22 15:41 | Phân loại hàng: MẦU TRẮNG
,2,Mình mua hai chiếc nhưng lúc dùng thì tai nghe được tai nghe không được :)))) mng mua thì nên cân nhắc nhé.,2023-11-12 08:52 | Phân loại hàng: MẦU TRẮNG
__yuurose__12,2,Kh biết do giao hàng hay như nào nhưng mà rất kh ưng ý nha shop :)) có mỗi cái hộp đẹp để dùng mà vỡ,2025-09-03 08:10 | Phân loại hàng: MẦU TRẮNG
hoahuongduong678,2,Hàng tệ! Mới mua tai nghe dây này với tai nghe không dây 1 bên. Hỏng cả 2. Chán thật!,2025-02-26 14:13 | Phân loại hàng: MẦU TRẮNG
heocon9515,2,"Dây bị gập quá nhiều đoạn luôn, đeo nghe ổn. Sợ dây cầm chán lắm luôn.",2024-10-02 14:46 | Phân loại hàng: MẦU TRẮNG
yen11031996,2,Tai phải k nghe dc Tai trái nghe dc Tạm vâny,2023-10-06 11:54 | Phân loại hàng: MẦU TRẮNG
hari25062003,2,"Mua tai nghe giá rẻ dùng tạm, xác định ko đc lâu dài tuy nhiên vừa mở hộp ra đã xịt mất 1 bên tai phải",2025-11-05 21:16 | Phân loại hàng: MẦU TRẮNG
oog_binh_yen_77,2,"Tai nghe bị gãy ko biết sài đc trong bao lâu nói chung thôi đồ rẻ nên chịu vậy, gãy cả 2 tai lun nhé",2024-11-13 15:44 | Phân loại hàng: MẦU ĐEN
l*****a,2,"Tai nghe siêu chán, đóng gói ok, chất lượng âm thanh kém, thu âm cũng kém, haiz",2023-04-03 12:01 | Phân loại hàng: MẦU TRẮNG
hothuyhien2412,2,"hộp thì nhìn xịn, nma cắm được điện thoại, cắm laptop ko nhận, hỏi shop ko rep",2024-08-29 22:56 | Phân loại hàng: MẦU TRẮNG
n*****5,2,Tai nghe  nghe êm nhưng 1 bên nghe đc bên k nghe đc. Giá cũng trung trung mà chất lượng kém quá,2025-09-29 09:37 | Phân loại hàng: MẦU TRẮNG
t*****8,2,"Sản phẩm dây cáp lỏng lẻo, giá rẻ nên chất lượng ở mức thấp. Nên mua tai mắc tiền hơn, mình bỏ ko xài dc",2025-07-11 17:59 | Phân loại hàng: MẦU TRẮNG
thuyhn97,2,Dùng được mấy lần sau đó hỏng không hiểu lý do luôn 😑 mua phí tiền thật sự,2024-10-16 16:32 | Phân loại hàng: MẦU TRẮNG
t*****0,2,Shop mall nhưng hàng khá tệ nút tăng giảm âm lượng ko có bấm được luôn như để làm cảnh vậy,2025-08-28 19:42 | Phân loại hàng: MẦU TRẮNG
l*****4,2,"Tai nghe mới mua đc 1 tháng đã bị hỏng 1 bên rồi mn ơi, tienf nào của nấy, cân nhắc trc khi mua nhé",2022-11-23 09:20 | Phân loại hàng: MẦU TRẮNG
daodinhdat1997,2,Chất lượng bình thường phù hợp giá tiền thôi hộp bị vỡ,2023-06-01 22:40 | Phân loại hàng: MẦU TRẮNG
thao111294,2,"Bị gấp đúng cái chỗ này, chưa dùng mà đã coa cảm giác sắp đứt rồi",2025-12-22 10:21 | Phân loại hàng: MẦU ĐEN
n*****1,2,đặt nhầm loại nên nhắn tin shop để yêu cầu đổi thế mà shop online nhưng không trả lời tin nhắn!?? chất lượng phục vụ tệ,2024-09-11 11:33 | Phân loại hàng: MẦU TRẮNG
trungbui0261,2,"Tai nghe chất âm tệ, chống điếc thôi, tai nghe nó to lắm, đeo đau tai lắm, khuyên m.n k nên mua",2024-08-05 19:54 | Phân loại hàng: MẦU TRẮNG
nguyenhien13789,2,"Tai nghe to, âm thanh dở, dây tai nghe bé hơn những cái m mua trước kia.  Ko đáng mua",2024-01-31 17:06 | Phân loại hàng: MẦU TRẮNG
_*****_,2,"Sản phẩm rất xinh đẹp tuyệt vời, tôi không thể trông đợi gì hơn. Cảm ơn nhà cung cấp, nhà sản xuất, cảm ơn người bán hàng, cảm ơn sàn thương mại điện tử, cảm ơn người vận chuyển để tôi có cơ hội dùng sản phẩm tốt như thế này.",2025-11-01 09:15 | Phân loại hàng: MẦU TRẮNG
h*****1,2,Dây nghe bị giãn,2024-12-15 13:54 | Phân loại hàng: MẦU ĐEN
bithng180,2,,2023-12-29 17:51 | Phân loại hàng: MẦU TRẮNG
nvkv_116,2,"Dây hơi mảnh , âm thanh thì bên lành bên tật , gói hàng giao đi kiểu như này thì thôi , về tới đây mà còn lành lặn là may rồi Với chất lượng như này thì cái giá phải trả là quá đắt , dù cũng chỉ có hơn 50k.",2023-11-27 12:27 | Phân loại hàng: MẦU TRẮNG
mailinh258,2,"Mua đúng zắc cắm cho máy tính, dùng thấy tiếng zè zè thì shop báo ko dùng cho máy tính Phải chuyển đổi Nói chung là rất zè zè, nghe k ổn chút nào",2025-10-16 13:36 | Phân loại hàng: MẦU ĐEN
b6358lh25c,2,Shop đồ tổ ấm VN HN VN chunk,2026-01-06 21:07 | Phân loại hàng: MẦU TRẮNG
trandyep279,2,"Sản phẩm có mic nhưng mic không nói được ,nghệ chập chờn lúc đc lúc không",2025-10-17 11:34 | Phân loại hàng: MẦU ĐEN
phantrang6802,2,"Bóc ra thì nó như thế này, ko có cái lớp chắn đen 1 bên làm nghe rất khó chịu và ko đều 2 tai",2023-10-22 18:29 | Phân loại hàng: MẦU TRẮNG
a*****h,2,HỮU DUYÊN TẶNG KHĂN CMT LIỀN LIỀN 🫵🫵🫵 NHÂN DỊP KHAI TRƯƠNG  HỮU DUYÊN TẶNG RD KHĂN CHO BẠN IU.  Các b chỉ cần like và cmt hoiiii ạ. Mong khăn xinh được trao cho bạn nạ 🫶  Shop sẽ tổ chức nhìu minigame để khăn xinh được lan toả tới mn ✨,2025-07-23 13:13 | Phân loại hàng: MẦU TRẮNG
pthiyennhi03,2,Dùng để giảm âm lượng còn k đc 😭,2024-10-22 09:02 | Phân loại hàng: MẦU TRẮNG
minhtin28.1,2,Sau khi mua được vài ngày =)))  Đeo hơi đau tai vì đầu tai nghe to,2023-04-17 20:59 | Phân loại hàng: MẦU TRẮNG
n*****3,2,sản phẩm chất lượng đúng với hình ảnh mô tả của cửa hàng mỗi tội dùng 2 ngày thì bị bung ở cả 2 bên tai,2025-07-04 15:55 | Phân loại hàng: MẦU ĐEN
hathiminhtan8118,2,,2025-07-22 12:40 | Phân loại hàng: MẦU ĐEN
jerrielittlemiss,2,Vừa mua về cái đã hỏng 1 tai😢 nhma đồ rẻ nên cũng k biết nói gì,2024-01-13 16:48 | Phân loại hàng: MẦU ĐEN
tranglee1020,2,"Lần trước cũng mua 1 dây bên này thấy dùng khá bền, chưa thấy hỏng nhưng vì bị bé mèo nhà mình cắn nát nên mình đành mua lại dây mới nhưng lần này khá thất vọng, mới có vài ngày mà 1 bên tai đã ko nghe được rồi🤦‍♀️",2024-08-16 17:05 | Phân loại hàng: MẦU ĐEN
,2,"Giao hàng chậm, shop gói chán, không có bọc chống sóc nên bị vỡ. Biết là cũng do bên vận chuyển nữa nhưng mong sau gói hàng cẩn thận hơn 😃",2023-10-17 18:47 | Phân loại hàng: MẦU TRẮNG
t*****9,2,Cuốn chặt quanh hộp tới mức móp muốn đứt 2 đầu dây,2025-01-09 20:03 | Phân loại hàng: MẦU TRẮNG
theanhvn1,2,"Cắm tai nghe vào máy tính, youtube thì nghe được nhưng trang khác tịt. Mình thử với tai nghe khác thì vẫn ok. Shop cố gắng cải thiện chất lượng thêm",2023-09-16 12:03 | Phân loại hàng: MẦU TRẮNG
n*****u,2,Bị nứt một vết khá dài trên nắp trong khi phần hộp ngoài nguyên vẹn. Chưa dùng thử.,2025-10-22 19:25 | Phân loại hàng: MẦU ĐEN
johahaeyo169,2,Tệ vl. Cắm vô máy tính 1 tai nghe to hơn tai còn lại ????  Hỏi chấm vll luôn,2025-09-07 18:24 | Phân loại hàng: MẦU TRẮNG
quachmanhtu2k,2,Tai nghe nghe được vừa nhưng không hài lòng với mic mic thu âm quá kém mình hay gọi sd bằng tai nghe nên mình không thích cái thu âm của tai nghe này,2023-08-24 10:27 | Phân loại hàng: MẦU TRẮNG
t*****1,2,Đặt 2 giao 1. Shop bảo chuyển tiền bù mà k thấy gì. nhắn shop 3 lần không trả lời.,2023-12-17 12:00 | Phân loại hàng: MẦU TRẮNG
rurj5qzgwv,2,Hàng thì đẹp nhưng 1 bên tai không nghe đc.,2024-06-12 16:58 | Phân loại hàng: MẦU TRẮNG
h*****9,2,"tai nghe tạm ổn nhưng có đoạn bị gấp khúc như sắp đứt, shop k bọc chống sốc nên lúc giao hàng bị vỡ nát hết hộp",2023-06-13 21:58 | Phân loại hàng: MẦU TRẮNG
lomigold,2,Tai nghe phải chỉnh đi chỉnh lại ms lên đc âm thanh,2025-11-02 07:40 | Phân loại hàng: MẦU TRẮNG
hungletuan1002,2,"mình mua đến chiếc thứ 4 tại cửa hàng rồi mà 2 chiếc sau này âm thực sự bé , so với chiếc cũ màu trắng của hãng không nổi 1/2 .",2025-07-12 11:24 | Phân loại hàng: MẦU ĐEN
uyen9886,2,Sắp đứt tới nơi. Bên to bên bé 😂,2023-06-01 22:43 | Phân loại hàng: MẦU TRẮNG
